instance,pcm_intensity,pcm_loudness,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,lspFreq_0,lspFreq_1,lspFreq_2,lspFreq_3,lspFreq_4,lspFreq_5,lspFreq_6,lspFreq_7,pcm_zcr,voiceProb,F0,F0env,pcm_RMSenergy,class
105_makeup_3,0.000000228,0.431121942,-22.714089868,-8.806109579,-19.2337498775,-19.7724220718,-23.7303464099,1.2754974125,-20.0293524276,-2.989634128,-22.750753861,2.5980172667,-12.2923488174,7.0823448377,0.3389855715,0.5426498289,0.9368483907,1.0743694017,1.2104311373,1.4198384845,1.8913340117,2.6260464935,0.1709926774,0.6693117047,214.8687342513,211.7344299223,0.000000228,0
105_makeup_4,2.91811847578082E-007,0.48172125,-19.6146481901,-10.7503701628,-17.0678262642,-20.5934435067,-23.4072590385,-2.2821953271,-23.5565176912,-3.1309134925,-20.6269568118,-0.0120807115,-14.8136479808,7.887151317,0.3181935786,0.4938091627,0.8834762745,1.0711626027,1.1720032411,1.3990342,1.8195077178,2.6124714164,0.1264869182,0.6197742474,220.5646527897,214.3094331507,2.91811847578082E-007,0
105_makeup_5,0.000000202,0.3972265482,-22.3914377993,-8.7891843686,-18.3411978762,-14.6264211222,-21.5842304448,0.9496494321,-22.744699011,-2.0480528056,-21.8509301632,2.3932728444,-15.2509314746,6.9700472279,0.340454533,0.5555802522,0.9447075826,1.0726317164,1.218591516,1.426093312,1.892926094,2.620721478,0.1843390742,0.6691213214,195.3293635638,193.02483278,0.000000202,0
105_makeup_6,1.25698747982427E-007,0.3335189571,-26.06553893,-8.1273214533,-18.1350231651,-8.1232177257,-20.7298217879,3.6820677072,-20.0311138995,1.1079489552,-18.4051839796,4.7789372186,-14.1474748003,8.8025637195,0.3822770511,0.6112860674,0.9919538966,1.0778938681,1.2667141564,1.4465801873,1.9976004121,2.6452828453,0.2385026298,0.7197413588,189.7467659926,188.7756415309,1.25698747982427E-007,0
105_makeup_7,2.3649010118491E-007,0.417399732,-20.3435832365,-9.679602663,-24.3875450495,-16.103468965,-17.5013739847,1.2861712563,-22.7478246491,4.1757036232,-24.5984600056,0.8687411767,-10.4595218156,8.0852869675,0.315004125,0.5454687345,0.9487959252,1.0735835385,1.2164334122,1.4311024324,1.9441243468,2.6361285068,0.1785833887,0.7368684829,195.2094392545,193.3220927703,2.3649010118491E-007,0
105_makeup_8,2.90224666009445E-007,0.4666637328,-19.6434130094,-5.1131504606,-20.0400920461,-20.2849061757,-22.8210345944,-4.0966250138,-28.6078232611,-7.2050033967,-24.6400826289,3.4192939039,-12.4615968161,2.5412606823,0.3095007917,0.533965745,0.941698165,1.0738133667,1.2030376889,1.4140408444,1.8475131556,2.6205926944,0.1428276436,0.7138656106,225.7530589041,224.8313445,2.90224666009445E-007,0
105_makeup_9,2.10875546352302E-007,0.4333369748,-18.7828583734,-12.0681178131,-24.8019079632,-15.6566079062,-22.9310574662,1.5976576864,-21.5774253526,-1.6298580318,-21.6577889284,6.9061021843,-12.2202249848,5.41462614,0.2924773749,0.5052882157,0.9567401875,1.0757407226,1.2016297736,1.4283449245,1.8957046868,2.6245279226,0.1554645138,0.6720805834,194.1259838791,194.4110273585,2.10875546352302E-007,1
107_makeup_1,2.15266924271068E-007,0.4055314915,-10.5611310174,-9.825319123,-6.7568234055,-5.7528278768,-17.4688218036,-17.1975642585,-17.7786600041,-5.2885562301,-14.9523094302,-14.0701100559,-19.9783871364,-5.7708331621,0.2678531666,0.4791944769,0.8001196381,1.0841028968,1.3067890648,1.4174711134,1.8158142308,2.6111830891,0.0871418046,0.6327223326,216.0948551724,206.4181866397,2.15266924271068E-007,0
107_makeup_2,9.7714899599793E-008,0.2971655279,-10.2504140679,-2.2695374492,-2.7747520149,-8.5689032428,-17.4215258467,-10.8011869354,-10.4831580067,-2.3270226667,-9.5336019064,-1.7373077827,-18.1513602975,-8.4408987411,0.2757371669,0.5129271335,0.8124657797,1.0765759821,1.3127945136,1.4104683127,1.8118295583,2.6281547196,0.0738522751,0.5964577876,210.9175962963,213.0876184615,9.7714899599793E-008,1
107_makeup_3,2.17844797272549E-007,0.3822218479,-7.4857799112,-9.4783112195,-9.1180453182,-9.436575004,-15.5326269777,-12.3843419909,-19.0763920152,-6.2027084606,-11.5440011058,-2.9657838549,-17.5463214854,-8.5113570163,0.2412463877,0.4566147957,0.7806168195,1.0665869686,1.2867207896,1.404411378,1.8671418994,2.6342002774,0.0549471523,0.7229984381,242.7975638211,222.9280027439,2.17844797272549E-007,0
107_makeup_4,2.0554932266914E-007,0.3839707707,-4.5438362776,-12.629749172,-8.8361152897,-3.5053180826,-13.7516037678,-12.663924881,-21.6200127117,-6.2809067435,-12.496766299,-10.6779089067,-24.4810318844,-7.3047988332,0.2302998328,0.4159395294,0.7615263115,1.0626381005,1.282848266,1.4199106138,1.8904127801,2.6486375934,0.053859157,0.6977693299,202.6299081181,213.2917076215,2.0554932266914E-007,0
107_makeup_5,2.41265009131638E-007,0.42987346,-8.2466080625,-9.1760055953,-5.6923917179,-9.3230192072,-25.4102980195,-16.3629861864,-21.0220374166,-6.6033788325,-13.4507056511,-0.8899983838,-22.5113705489,-6.6513402359,0.2567144102,0.4418852469,0.7753863795,1.0744543762,1.2623132769,1.4154105244,1.8046774756,2.6139182117,0.0705951493,0.6847785752,210.4370511111,178.5082674267,2.41265009131638E-007,0
107_makeup_6,1.79131019221448E-007,0.3361117006,-8.1367064318,-9.0431024356,-5.2164277603,-6.1074501431,-14.3657362891,-8.8504336491,-15.2447881481,-6.8833151393,-16.3358751984,-5.7859955926,-16.9100354019,-9.0748536565,0.2730881962,0.4621283773,0.7907359858,1.0717558852,1.2952348585,1.4182835684,1.8774789095,2.6487386381,0.0696202956,0.6258670234,215.9862042017,195.037017123,1.79131019221448E-007,0
107_makeup_7,2.28648484867226E-007,0.4076164007,-3.8971954502,-2.1374029842,-3.481840906,-13.1098066264,-17.0451754209,-9.0892321031,-19.6528436659,-8.4497318861,-12.9910087514,-0.7571992462,-14.1141999509,-7.224932085,0.2055026192,0.444624822,0.7488551613,1.0435532873,1.2584129306,1.3945791792,1.8057347225,2.6235970636,0.0374805447,0.7304497098,203.8314221374,193.1641218497,2.28648484867226E-007,0
107_makeup_8,2.39485762852581E-007,0.4489853072,-4.9990655743,-4.5137595367,-8.2926427093,-9.1791036957,-21.354264286,-12.6206055469,-25.851603929,-9.6962174548,-13.5193256703,-5.6944336539,-23.7393644476,-10.7093002328,0.2252900734,0.433888286,0.8075762366,1.0790478154,1.265857129,1.4041203082,1.8367894122,2.6169637563,0.0636615032,0.7411797136,206.0474718182,196.5173697133,2.39485762852581E-007,0
107_makeup_9,1.18377547549528E-007,0.3388417333,-7.6132591629,-10.7832124653,-6.7335177153,-4.0425325304,-20.8412978729,-15.6954056432,-15.4705184114,-0.9321304376,-12.5140961584,-2.9524066725,-21.7947378508,-10.0412158349,0.2568191103,0.4364463562,0.7754676373,1.0595996451,1.2589644547,1.4111878021,1.8708782863,2.6398532884,0.0641561315,0.6639578573,203.3533098039,186.2954701474,1.18377547549528E-007,0
108_makeup_1,1.24661950749292E-007,0.3459576544,-11.1868985292,-4.9131399297,-9.5389255019,-9.5137280295,-19.5260857509,-15.1989431466,-21.4631590214,-7.4674543969,-7.1818531019,-0.9364969232,-20.2606222656,-9.1448989998,0.2732665965,0.4805497486,0.8319187835,1.0760811823,1.2842954092,1.4078898727,1.7944594864,2.6078139833,0.0964138423,0.6247025049,206.4862385382,172.3611634656,1.24661950749292E-007,0
108_makeup_2,1.87059801523242E-007,0.3738004579,-9.0503510718,-6.9492395502,-6.7008105886,-5.1889752679,-23.0838455915,-15.3151956333,-20.0658356698,-7.6326624392,-9.1121349318,-8.4614290586,-19.7243461389,-8.5265828736,0.2590017382,0.4596193745,0.807543618,1.0686207951,1.2795030781,1.414454487,1.8237372469,2.6265727961,0.0745932289,0.6779262077,198.111860356,181.7864984145,1.87059801523242E-007,0
108_makeup_3,2.05253528261874E-007,0.43090392,-7.2834203156,-7.2044669419,-5.3528453058,-5.9066593799,-27.1976305751,-16.1817175698,-23.028519375,-6.7618776236,-9.1882155416,-8.1316330313,-18.8714654204,-10.0664802484,0.2439988214,0.4506230156,0.7942526443,1.0778767985,1.2825049909,1.4188788711,1.821627726,2.6198378675,0.0608207617,0.7218401492,197.4280482353,186.1214913067,2.05253528261874E-007,0
108_makeup_4,9.33466730658293E-008,0.2907903913,-9.9589569257,-0.7173962857,-7.3573830669,-8.9911585451,-22.1921104043,-12.529771241,-15.5593098979,-5.6330461281,-9.0002131728,-3.9596966257,-13.4848050647,-8.2758557403,0.2783954945,0.5131659295,0.835648417,1.0804995662,1.2931247136,1.4095077136,1.8410379105,2.6363801946,0.0864370315,0.5798117586,187.7481883193,177.3807886353,9.33466730658293E-008,0
108_makeup_5,1.48874857396296E-007,0.3919875622,-7.1562988676,-3.4091932502,-1.8023261493,-8.132324957,-25.9063284905,-18.3959045489,-19.1451380055,-10.8542216186,-8.9902583431,-8.2228833248,-22.3895022112,-12.2744597533,0.2385033211,0.4547469212,0.7784993993,1.0587014339,1.2882295322,1.4046333675,1.7976153986,2.6194439189,0.0528976095,0.7101977604,203.4534183544,194.7010090692,1.48874857396296E-007,0
108_makeup_6,0.000000183,0.3979449888,-4.5155670223,-4.7611817128,-6.1072262299,-16.0733122256,-21.0090727676,-23.0884838692,-26.1066962077,-14.3130818368,-0.3376412094,-1.7310321043,-24.0585798752,-10.9088466961,0.2019129532,0.4475718214,0.7429927026,1.0475462684,1.2939756496,1.3991624701,1.7579525726,2.6057989231,0.0430604956,0.7339262795,207.3253472527,189.97356,0.000000183,0
109_books_1,1.56822750509902E-006,0.7687989462,-19.3763616066,-10.1659246146,-1.2325613221,-12.1326640579,-21.4988719363,-18.8303818093,-8.3210215927,-6.9478038512,-14.8310295846,-7.689529425,-17.4314037395,-4.5827923836,0.3332983983,0.4891056464,0.7613702134,1.0143944045,1.2607370107,1.3949964839,1.7403772286,2.5647286554,0.0997004939,0.5333679218,188.5541946429,187.487080375,1.56822750509902E-006,1
109_books_2,8.59436114095422E-007,0.6196803125,-22.266009713,-10.0603132169,-3.3646362126,-7.7797347416,-19.8071217197,-16.3324991411,-7.9343276307,-3.8033126887,-14.1038726173,-12.7628614159,-5.5922843807,0.3315395523,0.3515659726,0.506811743,0.7866938951,1.0100090877,1.2429043151,1.3853770685,1.7305041068,2.5623086822,0.1121573791,0.4548262918,169.7424775194,142.2717461644,8.59436114095422E-007,1
109_books_3,1.15866139872108E-006,0.6990891522,-22.5547112634,-9.3258886266,-0.5645353664,-9.4296514903,-23.655950487,-19.4857466726,-7.3782860733,-5.6097308529,-9.9836820313,-9.0564620919,-9.8931646727,-0.1297388843,0.3568428085,0.5022230442,0.7745263186,1.0112176039,1.2567540245,1.3964732569,1.7638001573,2.5723451818,0.1085090009,0.4978818261,168.9162286184,153.9234923377,1.15866139872108E-006,1
110_perfume_1,7.77198680682581E-008,0.2961693507,1.7836218444,-25.1839672824,-1.1033889273,-33.0746743438,-2.7486656744,-21.961928493,-3.7494689035,-4.0444714527,-3.782819875,-6.2465357102,-12.381342235,-1.5791766582,0.19709222,0.3705299134,0.5755438358,0.7771684574,1.240891344,1.8298906633,2.2943068239,2.7233438963,0.0563073656,0.6388291283,191.6859241055,179.3807755853,7.77198680682581E-008,1
110_perfume_2,2.85493631039137E-008,0.2190718387,-2.4545694436,-18.5118262396,-0.1120977646,-31.7778830629,1.8179481227,-20.4495224332,-5.4161123562,-6.3489940255,0.7268162303,-0.5899848482,-8.9142305822,-1.1025825645,0.2172158427,0.4129781815,0.6076411374,0.7728286942,1.1928361343,1.8122623914,2.2929386374,2.7245703275,0.0594863272,0.5261254145,182.6821272727,169.6325047284,2.85493631039137E-008,1
110_perfume_3,0.000000038,0.2308536952,-5.5792111646,-16.1368258553,3.3870517087,-34.5145000054,2.239007348,-26.1718976117,-10.6189327679,-6.2187718706,-0.710986284,2.0654252148,-12.3912604543,0.3854438716,0.2346833351,0.438871635,0.6053614502,0.7652411908,1.1977625766,1.8114413481,2.289902693,2.7220250253,0.0686304332,0.516210975,177.0464728,175.8440838291,0.000000038,1
110_perfume_4,8.41021328880963E-008,0.3101849005,3.281961807,-21.9124627914,1.269798576,-37.2689212562,-4.16663527,-28.8463504623,-7.1747592822,-4.1988205011,-4.4946433164,-2.5233217621,-16.2396157428,-1.4181620583,0.1805788351,0.372325839,0.5819840301,0.7445511035,1.2374592022,1.8216043235,2.2873243926,2.7211981111,0.045971146,0.6863389652,189.1015249135,176.887539037,8.41021328880963E-008,1
110_perfume_5,4.25432772958155E-008,0.2589634902,4.2759556539,-21.0493061474,1.3239598364,-34.6477677838,-8.6068422507,-22.5167408262,-11.7696595628,-4.9190749472,0.6512499174,-2.6736508437,-13.158615811,-7.6855461515,0.178861166,0.3699264844,0.5691678938,0.7631712913,1.2381074724,1.8314044663,2.2963467572,2.727143185,0.0428835704,0.6087554472,183.3418407534,171.7226829865,4.25432772958155E-008,1
